Year Month Day Hour Minute Second VelocityE VelocityN VelocityU StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage Speed Direction 
2015 11 05 16 45 00   -4.31    3.24    7.37  25.5  21.8  25.5   2.2   6.5   5.6  40  50  48  35  35  35  120.7   0.0   0.0  2.4  0.0  0.0  27.32     0.0000    0.000  10.0    5.39   306.9
2015 11 05 17 00 00   -2.92    2.03    3.08  19.1  13.6  23.9   2.2   7.7   5.2  40  53  47  35  35  35  120.6   0.0   0.0  2.0  0.0  0.0  27.26     0.0000    0.000  10.0    3.56   304.8
2015 11 05 17 15 00   -2.76    2.10    3.53  25.5  20.7  25.5   1.7   6.0   3.9  39  49  44  35  35  35  120.6   0.0   0.0  2.0  0.0  0.0  27.19     0.0000    0.000  10.0    3.47   307.3
2015 11 05 17 30 00    0.44   -0.42   -0.81  25.5  24.2  25.5   2.2   6.5   4.7  40  50  46  35  35  35  120.6   0.0   0.0  2.0  0.0  0.1  27.08     0.0000    0.000  10.0    0.61   133.7
2015 11 05 17 45 00    2.07   -2.16   -3.01  25.5  19.9  25.5   2.6   6.9   4.7  41  51  46  35  35  35  120.5   0.0   0.0  1.5  0.0  0.1  26.95     0.0000    0.000   9.8    2.99   136.2
2015 11 05 18 00 00    1.76   -1.88   -1.57  25.5  22.2  25.5   2.2   5.6   4.3  40  48  45  35  35  35  120.6   0.0   0.0  2.0  0.0  0.1  26.82     0.0000    0.000   9.8    2.58   136.9
2015 11 05 18 15 00    1.20   -1.40   -1.42  18.0  12.8  22.5   2.6   6.9   6.0  41  51  49  35  35  35  120.6   0.0   0.0  2.0  0.0  0.1  26.73     0.0000    0.000   9.8    1.84   139.4
2015 11 05 18 30 00   -1.67    0.52    2.54  25.5  24.7  25.5   1.7   5.6   4.3  39  48  45  35  35  35  120.5   0.0   0.0  2.7  0.0  0.1  26.65     0.0000    0.000   9.8    1.75   287.3
2015 11 05 18 45 00   -2.28    1.11    3.11  25.5  18.9  25.5   2.2   6.5   4.3  40  50  45  35  35  35  120.6   0.0   0.0  2.0  0.0  0.1  26.59     0.0000    0.000   9.8    2.54   296.0
2015 11 05 19 00 00    2.55   -2.51   -3.60  25.5  20.7  25.5   2.2   6.0   4.3  40  49  45  35  35  35  120.5   0.0   0.0  2.7  0.0  0.1  26.56     0.0000    0.000   9.8    3.58   134.5
2015 11 05 19 15 00    1.20   -1.27    5.07  25.5  19.6  25.5   2.2   5.6   4.3  40  48  45  35  35  35  120.5   0.0   0.0  1.5  0.0  0.1  26.49     0.0000    0.000   9.8    1.75   136.6
2015 11 05 19 30 00    1.66   -1.13    1.17  25.5  21.2  25.5   2.2   6.0   4.3  40  49  45  35  35  35  120.6   0.0   0.0  2.1  0.0  0.1  26.43     0.0000    0.000   9.8    2.01   124.2
2015 11 05 19 45 00    1.49   -1.41   -2.99  25.5  25.5  25.5   2.6   5.6   4.3  41  48  45  35  35  35  120.6   0.0   0.0  2.0  0.0  0.1  26.39     0.0000    0.000   9.8    2.05   133.4
2015 11 05 20 00 00   -0.14   -0.57   -2.92  24.7  17.5  25.5   2.6   5.6   3.9  41  48  44  35  35  35  120.5   0.0   0.0  1.5  0.0  0.1  26.34     0.0000    0.000   9.8    0.59   193.8
2015 11 05 20 15 00    0.36   -0.59   -0.96  25.5  25.5  25.5   1.7   5.2   3.9  39  47  44  35  35  35  120.6   0.0   0.0  2.0  0.0  0.1  26.27     0.0000    0.000   9.8    0.69   148.6
2015 11 05 20 30 00    3.13   -2.99   -6.23  25.5  22.5  25.5   2.2   5.6   3.4  40  48  43  35  35  35  120.6   0.0   0.0  2.0  0.0  0.1  26.19     0.0000    0.000   9.8    4.33   133.7
2015 11 05 20 45 00   -0.93   -0.86  -14.61  25.5  23.8  25.5   2.2   5.6   3.9  40  48  44  35  35  35  120.5   0.0   0.0  2.8  0.0  0.0  26.11     0.0000    0.000   9.8    1.27   227.2
